lane,subdomain,context_id,target,standard_entropy,standard_mi_state,standard_mi_target,standard_fisher_trace,standard_rank,standard_qfi_trace,recoverability_defect,recoverability_alignment,compatibility_defect,compatibility_csr,tfcd,ambiguity_lid,ambiguity_index,is_real_data,rmse_bestfit,chi2_bestfit,nfw_rmse,burkert_rmse,p_nfw,p_burkert,verdict_good
blackhole_hawking_surrogate,restricted_radiation_channel,noise0.20_k4,fine_micro_label,4.000000000000002,0.602111840343993,0.0,,16.0,,0.5,0.0,1.0,0.0,0.5,,,0,,,,,,,1
blackhole_hawking_surrogate,restricted_radiation_channel,noise0.20_k5,coarse_thermodynamic,4.999999999999998,0.6360337427487645,0.1339937755035757,,32.0,,0.21724800000000008,0.39313903206399936,0.7893291401105684,0.21067085988943152,0.3034304839680003,,,0,,,,,,,0
blackhole_hawking_surrogate,restricted_radiation_channel,noise0.20_k5,medium_summary,4.999999999999998,0.6360337427487645,0.015741794039966218,,32.0,,0.42627199999999965,0.021743271935999897,0.9752500646083108,0.024749935391689244,0.48912836403200005,,,0,,,,,,,1
blackhole_hawking_surrogate,restricted_radiation_channel,noise0.20_k5,fine_micro_label,4.999999999999998,0.6360337427487645,3.203426503814918e-16,,32.0,,0.49999999999999994,1.1102230246251565e-16,0.9999999999999994,5.036566912268808e-16,0.49999999999999994,,,0,,,,,,,1
blackhole_hawking_surrogate,restricted_radiation_channel,noise0.20_k6,coarse_thermodynamic,6.0,0.6699556451535565,0.13399377550357544,,64.0,,0.21724799999999986,0.39313903206400014,0.7999960497789916,0.20000395022100834,0.30343048396799993,,,0,,,,,,,0
blackhole_hawking_surrogate,restricted_radiation_channel,noise0.20_k6,medium_summary,6.0,0.6699556451535565,0.01574179403996595,,64.0,,0.42627200000000054,0.021743271936001562,0.9765032294990844,0.023496770500915577,0.4891283640319992,,,0,,,,,,,0
blackhole_hawking_surrogate,restricted_radiation_channel,noise0.20_k6,fine_micro_label,6.0,0.6699556451535565,0.03392190240477478,,64.0,,0.3919999999999997,0.04665599999999914,0.9493669429459024,0.050633057054097576,0.47667200000000043,,,0,,,,,,,1
dark_matter_hidden_mass,galaxy_burkert_bestfit,D631-7_burkert,enclosed_mass,1.2987949406953985,12.52135239625019,3.8288440652352778,8729.817418958006,3.0,,0.07054741997620463,,0.6942148144970415,0.30578518550295847,,0.0,319.14248078403233,1,1.5955158362628692,5.931700097191201,5.332839427644312,1.5955158362628692,4.583814634646974e-21,0.9999999999989999,0
dark_matter_hidden_mass,galaxy_burkert_bestfit,D631-7_burkert,halo_family_label,1.2987949406953985,12.52135239625019,0.9999999999586942,8729.817418958006,3.0,,4.583814634646974e-21,,0.9201364223038585,0.07986357769614147,9.167629269293949e-21,0.0,319.14248078403233,1,1.5955158362628692,5.931700097191201,5.332839427644312,1.5955158362628692,4.583814634646974e-21,0.9999999999989999,0
dark_matter_hidden_mass,galaxy_burkert_bestfit,D631-7_burkert,local_profile_class,1.2987949406953985,12.52135239625019,0.9211438747846503,8729.817418958006,3.0,,0.009708754565773399,,0.9264341545837725,0.07356584541622742,0.019417509131546797,0.0,319.14248078403233,1,1.5955158362628692,5.931700097191201,5.332839427644312,1.5955158362628692,4.583814634646974e-21,0.9999999999989999,0
dark_matter_hidden_mass,galaxy_burkert_bestfit,D631-7_burkert,fine_latent_geometry,1.2987949406953985,12.52135239625019,7.458079417807668,8729.817418958006,3.0,,0.005687237985628789,,0.4043710949273208,0.5956289050726792,,0.0,319.14248078403233,1,1.5955158362628692,5.931700097191201,5.332839427644312,1.5955158362628692,4.583814634646974e-21,0.9999999999989999,1
dark_matter_hidden_mass,galaxy_burkert_bestfit,DDO064_burkert,enclosed_mass,0.9852281360342515,7.907447543343022,1.596554199969558,1359.5138982459148,3.0,,0.3503751467136323,,0.7980948730651225,0.2019051269348775,,1.0,22.514534277062033,1,2.694963191233691,3.901317895413734,3.4623129679540514,2.694963191233691,0.15027398663270475,0.8497260133664454,0
dark_matter_hidden_mass,galaxy_burkert_bestfit,DDO064_burkert,halo_family_label,0.9852281360342515,7.907447543343022,0.38947446813980935,1359.5138982459148,3.0,,0.15027398663270475,,0.950745867613413,0.049254132386587005,0.3005479732654095,1.0,22.514534277062033,1,2.694963191233691,3.901317895413734,3.4623129679540514,2.694963191233691,0.15027398663270475,0.8497260133664454,0
dark_matter_hidden_mass,galaxy_burkert_bestfit,DDO064_burkert,local_profile_class,0.9852281360342515,7.907447543343022,0.7581421040134122,1359.5138982459148,3.0,,0.03990531557078961,,0.9041230308695929,0.09587696913040708,0.07981063114157921,1.0,22.514534277062033,1,2.694963191233691,3.901317895413734,3.4623129679540514,2.694963191233691,0.15027398663270475,0.8497260133664454,0
dark_matter_hidden_mass,galaxy_burkert_bestfit,DDO064_burkert,fine_latent_geometry,0.9852281360342515,7.907447543343022,5.593084196026693,1359.5138982459148,3.0,,0.020720827772154327,,0.2926814670132972,0.7073185329867028,,1.0,22.514534277062033,1,2.694963191233691,3.901317895413734,3.4623129679540514,2.694963191233691,0.15027398663270475,0.8497260133664454,0
dark_matter_hidden_mass,galaxy_burkert_bestfit,DDO161_burkert,enclosed_mass,1.3987153592677852,15.604248416102772,5.702019543097617,84366.244180685,3.0,,0.019213267357375555,,0.6345854416664227,0.3654145583335772,,0.0,1341.146063833182,1,1.3067634618034358,7.454670659297402,14.773949384573394,1.3067634618034358,3.9234326674549116e-228,0.9999999999989999,1
dark_matter_hidden_mass,galaxy_burkert_bestfit,DDO161_burkert,halo_family_label,1.3987153592677852,15.604248416102772,0.9999999999586942,84366.244180685,3.0,,3.9234326674549116e-228,,0.935914888478272,0.06408511152172804,7.846865334909823e-228,0.0,1341.146063833182,1,1.3067634618034358,7.454670659297402,14.773949384573394,1.3067634618034358,3.9234326674549116e-228,0.9999999999989999,1
