battlefield,subdomain,context_id,standard_entropy,standard_mi_state,standard_mi_target,standard_fisher_trace,standard_rank,standard_qfi_trace,recoverability_defect,recoverability_alignment,compatibility_defect,compatibility_csr,tfcd,closure_defect,cco,ambiguity_lid,ambiguity_index,retained_energy,observability_rank,bayes_error,is_real_data,flow_monotone,verdict_good,compatibility_lift_ref
hidden_inference,sparc_rotation_curve,ESO079-G014_halo_only,0.9709505944546686,0.7540029376071457,0.9967916319816366,112280.6235774302,2.0,,9.852654882496042,,0.0,1.0,0.0,,,0.0,0.0003598246571115522,,,0.0,1,,0,-0.0059539866613908
hidden_inference,sparc_rotation_curve,ESO079-G014_halo_plus_bary,0.9709505944546686,0.8873362709404792,0.9967916319816366,41923.299006199675,3.0,,9.91131745824571,,0.0,1.0,0.0,,,0.0,0.004081319825629368,,,0.0,1,,0,-0.0059539866613908
hidden_inference,sparc_rotation_curve,ESO116-G012_halo_only,1.5546097612655667,1.4322628970242686,0.9967916319816365,73667.39953000995,2.0,,5.039718483436746,,0.30404422675989584,0.6959557732401042,0.0,,,0.0,0.00033805762327405694,,,0.0,1,,1,0.11195904055134229
hidden_inference,sparc_rotation_curve,ESO116-G012_halo_plus_bary,1.5546097612655667,1.4825887305018333,0.9967916319816366,44573.426891679796,3.0,,4.475476437382302,,0.3276681445944635,0.6723318554055365,0.0,,,0.0,0.003594557979938175,,,0.0,1,,1,0.11195904055134229
hidden_inference,sparc_rotation_curve,ESO563-G021_halo_only,1.8004422822781614,1.2351494637497695,0.7287011504194124,193317.43520524903,2.0,,29.0628470669923,,0.41002998276244174,0.5899700172375583,0.11259259259259255,,,0.0,6.754224747475038e-05,,,0.06666666666666668,1,,0,0.18733269957063314
hidden_inference,sparc_rotation_curve,ESO563-G021_halo_plus_bary,1.8004422822781614,1.3603388343216087,0.7701134349253412,31111.62020402332,3.0,,23.618425468724176,,0.43388116585718783,0.5661188341428122,0.10158730158730161,,,0.0,0.002055200948887116,,,0.06666666666666668,1,,0,0.18733269957063314
hidden_inference,sparc_rotation_curve,F563-1_halo_only,1.7263472243434204,1.020464871402244,0.6445613698985271,5216.140248721831,2.0,,8.883534630427992,,0.3683649599688614,0.6316350400311386,0.16666666666666657,,,0.0,0.0031261159164999016,,,0.11764705882352941,1,,0,-0.0006566493719171636
hidden_inference,sparc_rotation_curve,F563-1_halo_plus_bary,1.7263472243434204,1.1092751657744166,0.644561369898527,3764.5210136827027,3.0,,8.889367997863467,,0.4189346432825436,0.5810653567174564,0.16666666666666657,,,0.0,0.08237306060853355,,,0.11764705882352941,1,,0,-0.0006566493719171636
hidden_inference,sparc_rotation_curve,F568-3_halo_only,1.8910611120726526,1.29356736195246,1.0,5808.214519245723,2.0,,10.591249134413912,,0.226944008164647,0.773055991835353,0.0,,,0.0,0.0034932285749198727,,,0.0,1,,0,0.018238473606833748
hidden_inference,sparc_rotation_curve,F568-3_halo_plus_bary,1.8910611120726526,1.584962500721156,1.0,4984.062708845516,3.0,,10.398080916612503,,0.36907024642854247,0.6309297535714575,0.0,,,0.0,0.02259320416695519,,,0.0,1,,0,0.018238473606833748
