family_id,mode,n,k_contexts,m_per_context,total_budget,stack_rank,descriptor_signature,local_exact_all,shared_exact,context_invariance_gap,cid,mean_local_dls,joint_dls,stack_alignment,stack_residual,stack_logdet_info,rank_only_pred_shared,budget_only_pred_shared,enlarged_shared_exact,enlarged_local_exact_all,enlargement_flip,shared_aug_threshold,shared_aug_found,shared_aug_rows,shared_aug_residual,notes
ctxfam_1756,redundant_measurement,6,3,2,6,1,n6|k3|m2|r1|b6,0,0,0,3.0495901364,0.9150943396,0.9150943396,0.1196591569,3.0495901364,-85.9941575127,0,1,0,0,0,,0,,,
ctxfam_1757,local_only,5,3,2,6,4,n5|k3|m2|r4|b6,1,0,1,3.1980442421,0.0,0.0,1.0,0.0,-23.2157721563,0,1,0,1,0,1,1,1,0.0,
ctxfam_1758,mixed_random,6,3,2,6,6,n6|k3|m2|r6|b6,0,0,0,4.2796636118,0.8824786325,0.0,1.0,0.0,9.9944245895,1,1,0,0,0,4,1,4,0.0,
ctxfam_1759,local_only,7,3,2,6,4,n7|k3|m2|r4|b6,1,0,1,3.4425309724,0.0,0.0,1.0,0.0,-20.8706156969,0,0,0,1,0,1,1,1,0.0,
ctxfam_1760,mixed_random,4,2,2,4,4,n4|k2|m2|r4|b4,0,0,0,4.6056963593,0.5,0.0,1.0,0.0,5.9914645744,1,1,0,0,0,2,1,2,0.0,
ctxfam_1761,mixed_random,5,4,2,8,5,n5|k4|m2|r5|b8,0,0,0,3.5758932335,0.7083333333,0.0,1.0,0.0,-43.3599570705,1,1,0,0,0,3,1,3,0.0,
ctxfam_1762,local_only,4,5,2,10,4,n4|k5|m2|r4|b10,1,0,1,4.511433116,0.0,0.0,1.0,0.0,-91.5920199839,1,1,0,1,0,1,1,1,0.0,
ctxfam_1763,local_only,7,5,2,10,6,n7|k5|m2|r6|b10,1,0,1,7.0484148638,0.0,0.0,1.0,0.0,-49.1158527033,0,1,0,1,0,2,1,2,0.0,
ctxfam_1764,redundant_measurement,5,4,2,8,1,n5|k4|m2|r1|b8,0,0,0,5.7345109107,0.9107142857,0.9107142857,0.0442481816,5.7345109107,-122.690938419,0,1,0,0,0,4,1,4,0.0,
ctxfam_1765,shared_exact,4,5,2,10,2,n4|k5|m2|r2|b10,0,0,0,1.4142135624,1.0,1.0,0.0,1.4142135624,-139.8699030982,0,1,0,0,0,2,1,2,0.0,
ctxfam_1766,local_only,6,2,2,4,3,n6|k2|m2|r3|b4,1,0,1,3.0890473184,0.0,0.0,1.0,0.0,-7.9903957939,0,0,0,1,0,2,1,2,0.0,
ctxfam_1767,local_only,6,2,2,4,3,n6|k2|m2|r3|b4,1,0,1,4.3046248448,0.0,0.0,1.0,0.0,-6.2448970366,0,0,0,1,0,1,1,1,0.0,
ctxfam_1768,mixed_random,6,2,2,4,4,n6|k2|m2|r4|b4,0,0,0,4.5394227962,0.905982906,0.0,0.7869478361,0.9527982426,9.3916614328,0,0,0,0,0,3,1,3,0.0,
ctxfam_1769,local_only,4,2,2,4,3,n4|k2|m2|r3|b4,1,0,1,2.5417329395,0.0,0.0,1.0,0.0,-10.0886128686,0,1,0,1,0,2,1,2,0.0,
ctxfam_1770,mixed_random,4,3,2,6,4,n4|k3|m2|r4|b6,0,0,0,4.5776801668,1.0,0.0,1.0,0.0,-28.3926611005,1,1,0,0,0,3,1,3,0.0,
ctxfam_1771,drift_prone,7,2,2,4,3,n7|k2|m2|r3|b4,0,0,0,3.2329547202,0.0,0.0,0.4858677715,2.9083710818,-15.773447501,0,0,0,0,0,,0,,,
ctxfam_1772,shared_exact,4,3,2,6,2,n4|k3|m2|r2|b6,1,1,0,0.0,0.0,0.0,1.0,0.0,-65.9095491026,0,1,0,0,1,0,1,0,0.0,
ctxfam_1773,local_only,6,3,2,6,4,n6|k3|m2|r4|b6,1,0,1,4.7573904123,0.0,0.0,1.0,0.0,-21.4112968095,0,1,0,1,0,1,1,1,0.0,
ctxfam_1774,shared_exact,7,2,2,4,2,n7|k2|m2|r2|b4,0,0,0,4.2466710043,0.7894736842,0.7894736842,0.025746855,4.2466710043,-27.8903110246,0,0,0,0,0,,0,,,
ctxfam_1775,drift_prone,5,2,2,4,3,n5|k2|m2|r3|b4,0,0,0,4.193583103,0.0,0.0,0.1077292457,3.9903561218,-14.7626942106,0,0,0,0,0,4,1,4,0.0,
