bridge_case_id,source_family_id,mechanism,pre_local_exact,pre_invariant_exact,post_local_exact,post_invariant_exact,pre_lifted_residual_norm,post_lifted_residual_norm,pre_free_aug_threshold,post_free_aug_threshold,pre_restricted_aug_threshold,post_restricted_aug_threshold,local_gain_shared_loss_flag,threshold_worsened_flag,threshold_improved_flag,notes
fdeep_106,ao_pair_53_good,context_drift,1,1,0,0,1.5860389826762652e-13,inf,0,3,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_107,ao_pair_53_bad,intervention_cleaning,1,0,1,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_108,ao_pair_54_good,optimization_induced,1,1,1,0,6.112319729142702e-14,inf,0,1,0,1,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_109,ao_pair_54_bad,context_conditioned_differentiation,1,0,0,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_110,ao_pair_55_good,constraint_generation,1,1,1,1,2.1376334562999127e-13,3.271151141901051e-13,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_111,ao_pair_55_bad,context_drift,1,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_112,ao_pair_56_good,intervention_cleaning,1,1,1,1,6.111674391049878e-14,2.1132347966988378e-13,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_113,ao_pair_56_bad,optimization_induced,1,0,1,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_114,ao_pair_57_good,context_conditioned_differentiation,1,1,0,0,3.906975622655788e-14,inf,0,3,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_115,ao_pair_57_bad,constraint_generation,1,0,1,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_116,ao_pair_58_good,context_drift,1,1,0,0,5.181971170676584e-14,inf,0,2,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_117,ao_pair_58_bad,intervention_cleaning,1,0,1,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_118,ao_pair_59_good,optimization_induced,1,1,1,0,1.1407821156308084e-13,inf,0,1,0,1,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_119,ao_pair_59_bad,context_conditioned_differentiation,1,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_120,ao_pair_60_good,constraint_generation,1,1,1,1,9.648087210223558e-14,2.0117780380142341e-13,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_121,ao_pair_60_bad,context_drift,1,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_122,ao_pair_61_good,intervention_cleaning,1,1,1,1,3.247625332886312e-14,7.11683268440258e-14,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_123,ao_pair_61_bad,optimization_induced,1,0,1,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_124,ao_pair_62_good,context_conditioned_differentiation,1,1,0,0,7.119291619286993e-15,inf,0,2,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_125,ao_pair_62_bad,constraint_generation,1,0,1,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_126,ao_pair_63_good,context_drift,1,1,0,0,7.683128369205366e-14,inf,0,3,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_127,ao_pair_63_bad,intervention_cleaning,1,0,1,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_128,ao_pair_64_good,optimization_induced,1,1,1,0,4.248724734123577e-13,inf,0,1,0,1,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_129,ao_pair_64_bad,context_conditioned_differentiation,1,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_130,ao_pair_65_good,constraint_generation,1,1,1,1,2.867867465179357e-13,3.95118875532523e-13,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_131,ao_pair_65_bad,context_drift,1,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_132,ao_pair_66_good,intervention_cleaning,1,1,1,1,4.504387026253897e-14,1.4654976222413557e-12,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_133,ao_pair_66_bad,optimization_induced,1,0,1,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_134,ao_pair_67_good,context_conditioned_differentiation,1,1,0,0,1.2905204930967195e-13,inf,0,3,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_135,ao_pair_67_bad,constraint_generation,1,0,1,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_136,ao_pair_68_good,context_drift,1,1,0,0,1.1091566984390294e-13,inf,0,2,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_137,ao_pair_68_bad,intervention_cleaning,1,0,1,0,inf,inf,2,2,2,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_138,ao_pair_69_good,optimization_induced,1,1,1,0,1.6214547865791965e-13,inf,0,1,0,1,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_139,ao_pair_69_bad,context_conditioned_differentiation,1,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_140,ao_pair_70_good,constraint_generation,1,1,1,1,1.7301022567381986e-13,1.1649705152244106e-13,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_141,ao_pair_70_bad,context_drift,1,0,0,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_142,ao_pair_71_good,intervention_cleaning,1,1,1,1,3.487364449496395e-13,5.976589477988882e-14,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_143,ao_pair_71_bad,optimization_induced,1,0,1,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_144,ao_pair_72_good,context_conditioned_differentiation,1,1,0,0,4.8313967116652444e-14,inf,0,3,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_145,ao_pair_72_bad,constraint_generation,1,0,1,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_146,ao_pair_73_good,context_drift,1,1,0,0,8.98422216011013e-14,inf,0,2,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_147,ao_pair_73_bad,intervention_cleaning,1,0,1,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
