anomaly_id,type,family,n,contexts,descriptor_signature,local_exact,global_exact,fragility_metric,trigger,notes
p_ctx_flip_958,context_drift_flip,multi_context_shared,5,2,n5|m4|r2|i-21.93,0,0,0.23437265,eps=0.05237,global verdict changed under context drift
p_ctx_959,local_exact_global_fail,multi_context_shared,5,3,n5|m6|r2|i-46.73,1,0,2.41398464,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_960,context_drift_flip,multi_context_shared,6,3,n6|m6|r2|i-47.52,0,0,0.44518006,eps=0.08467,global verdict changed under context drift
p_ctx_962,local_exact_global_fail,multi_context_shared,4,4,n4|m8|r2|i-74.83,1,0,2.88339796,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_963,local_exact_global_fail,multi_context_shared,5,4,n5|m8|r2|i-74.33,1,0,3.36505639,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_964,context_drift_flip,multi_context_shared,4,2,n4|m4|r2|i-22.03,0,0,0.07757036,eps=0.02113,global verdict changed under context drift
p_ctx_flip_965,context_drift_flip,multi_context_shared,6,4,n6|m8|r2|i-76.25,0,0,0.33239102,eps=0.09453,global verdict changed under context drift
p_ctx_967,local_exact_global_fail,multi_context_shared,6,3,n6|m6|r2|i-45.92,1,0,3.26801286,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_968,context_drift_flip,multi_context_shared,5,3,n5|m6|r2|i-48.97,0,0,0.14410728,eps=0.06402,global verdict changed under context drift
p_ctx_969,local_exact_global_fail,multi_context_shared,6,3,n6|m6|r2|i-46.41,1,0,3.23852995,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_970,context_drift_flip,multi_context_shared,5,2,n5|m4|r2|i-22.03,0,0,0.1020798,eps=0.04896,global verdict changed under context drift
p_ctx_971,local_exact_global_fail,multi_context_shared,4,4,n4|m8|r2|i-75.56,1,0,1.73205081,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_972,local_exact_global_fail,multi_context_shared,4,2,n4|m4|r2|i-20.72,1,0,2.12132034,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_973,context_drift_flip,multi_context_shared,5,3,n5|m6|r2|i-48.50,0,0,0.38078368,eps=0.08675,global verdict changed under context drift
p_ctx_flip_974,context_drift_flip,multi_context_shared,6,4,n6|m8|r2|i-75.04,0,0,0.15050189,eps=0.04497,global verdict changed under context drift
p_ctx_975,local_exact_global_fail,multi_context_shared,4,3,n4|m6|r2|i-47.05,1,0,3.0849619,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_976,context_drift_flip,multi_context_shared,6,4,n6|m8|r2|i-74.52,0,0,0.26126625,eps=0.06030,global verdict changed under context drift
p_ctx_flip_977,context_drift_flip,multi_context_shared,5,2,n5|m4|r2|i-24.64,0,0,0.21733385,eps=0.06288,global verdict changed under context drift
p_ctx_flip_979,context_drift_flip,multi_context_shared,4,4,n4|m8|r2|i-75.93,0,0,0.22177093,eps=0.05617,global verdict changed under context drift
p_ctx_flip_980,context_drift_flip,multi_context_shared,4,3,n4|m6|r2|i-49.04,0,0,0.0131031,eps=0.00264,global verdict changed under context drift
p_ctx_flip_983,context_drift_flip,multi_context_shared,5,3,n5|m6|r2|i-48.19,0,0,0.1483182,eps=0.02951,global verdict changed under context drift
p_ctx_flip_985,context_drift_flip,multi_context_shared,4,2,n4|m4|r2|i-22.46,0,0,0.07385412,eps=0.02413,global verdict changed under context drift
p_ctx_989,local_exact_global_fail,multi_context_shared,4,4,n4|m8|r2|i-74.92,1,0,2.95751332,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_990,context_drift_flip,multi_context_shared,6,4,n6|m8|r2|i-75.08,0,0,0.21467648,eps=0.03609,global verdict changed under context drift
p_ctx_flip_991,context_drift_flip,multi_context_shared,4,4,n4|m8|r2|i-75.79,0,0,0.36694711,eps=0.07012,global verdict changed under context drift
p_ctx_flip_992,context_drift_flip,multi_context_shared,6,2,n6|m4|r2|i-22.99,0,0,0.27497071,eps=0.07595,global verdict changed under context drift
p_ctx_flip_993,context_drift_flip,multi_context_shared,6,4,n6|m8|r2|i-76.21,0,0,0.48979616,eps=0.08528,global verdict changed under context drift
p_ctx_flip_994,context_drift_flip,multi_context_shared,6,4,n6|m8|r2|i-74.45,0,0,0.15807503,eps=0.02439,global verdict changed under context drift
