formation_case_id,mechanism,n,k_contexts,pre_local_exact,pre_shared_exact,post_local_exact,post_shared_exact,pre_context_gap,post_context_gap,pre_alignment,post_alignment,pre_dls,post_dls,structure_created_flag,recoverability_change_shared,recoverability_change_local,pre_shared_aug_threshold,post_shared_aug_threshold,threshold_flip_flag,notes
fsec_660,context_conditioned_differentiation,7,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_661,intervention_generated_structure,4,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
fsec_662,feedback_induced_structure,7,2,0,0,0,0,0,0,0.2005011111,0.3394343157,1.0,0.0,1,0,0,,,0,EXPLORATION/NON-PROMOTED
fsec_663,local_to_global_organization,7,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_664,optimization_induced_structure,4,2,0,0,0,0,0,0,1.0,0.7157323782,0.0,0.0,0,0,0,3,3,0,EXPLORATION/NON-PROMOTED
fsec_665,constraint_generation,5,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,3,0,1,EXPLORATION/NON-PROMOTED
fsec_666,symmetry_breaking,7,2,0,0,1,0,0,1,0.0004538235,1.0,0.9116883117,0.0,1,0,1,,1,1,EXPLORATION/NON-PROMOTED
fsec_667,context_conditioned_differentiation,7,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_668,intervention_generated_structure,6,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
fsec_669,feedback_induced_structure,7,2,0,0,0,0,0,0,0.1178307329,0.1050508118,0.0,0.0,0,0,0,,,0,EXPLORATION/NON-PROMOTED
fsec_670,local_to_global_organization,7,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_671,optimization_induced_structure,5,2,0,0,0,0,0,0,0.2686667375,0.9577045066,0.0,0.0,1,0,0,3,3,0,EXPLORATION/NON-PROMOTED
fsec_672,constraint_generation,4,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,2,0,1,EXPLORATION/NON-PROMOTED
fsec_673,symmetry_breaking,6,2,0,0,1,0,0,1,0.0079261488,1.0,0.9090909091,0.0,1,0,1,,1,1,EXPLORATION/NON-PROMOTED
fsec_674,context_conditioned_differentiation,4,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_675,intervention_generated_structure,7,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
fsec_676,feedback_induced_structure,7,2,0,0,0,0,0,0,0.4501641111,0.4550754635,0.0,0.0,1,0,0,,,0,EXPLORATION/NON-PROMOTED
fsec_677,local_to_global_organization,5,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_678,optimization_induced_structure,4,2,0,0,0,0,0,0,1.0,0.7217566625,0.0,0.0,0,0,0,2,1,1,EXPLORATION/NON-PROMOTED
fsec_679,constraint_generation,5,2,0,0,1,1,0,0,0.1982162743,1.0,0.0,0.0,1,1,1,3,0,1,EXPLORATION/NON-PROMOTED
fsec_680,symmetry_breaking,7,2,0,0,1,0,0,1,0.0064126062,1.0,0.9413716814,0.0,1,0,1,,1,1,EXPLORATION/NON-PROMOTED
fsec_681,context_conditioned_differentiation,6,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_682,intervention_generated_structure,6,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
fsec_683,feedback_induced_structure,6,2,0,0,0,0,0,0,0.3117867701,0.2822931397,0.0,0.0,0,0,0,4,4,0,EXPLORATION/NON-PROMOTED
fsec_684,local_to_global_organization,6,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_685,optimization_induced_structure,6,2,0,0,0,0,0,0,0.2305895544,0.8260369065,1.0,0.0,1,0,0,,3,1,EXPLORATION/NON-PROMOTED
fsec_686,constraint_generation,7,2,0,0,1,1,0,0,0.2962479625,1.0,1.0,0.0,1,1,1,,0,1,EXPLORATION/NON-PROMOTED
fsec_687,symmetry_breaking,6,2,0,0,1,0,0,1,0.0045146957,1.0,0.8387096774,0.0,1,0,1,,1,1,EXPLORATION/NON-PROMOTED
fsec_688,context_conditioned_differentiation,7,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_689,intervention_generated_structure,7,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
fsec_690,feedback_induced_structure,5,2,0,0,0,0,0,0,0.5514925414,0.5124777332,0.0,0.0,0,0,0,3,3,0,EXPLORATION/NON-PROMOTED
fsec_691,local_to_global_organization,7,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_692,optimization_induced_structure,6,2,0,0,0,0,0,0,0.6542074217,0.6189855238,0.0,0.0,0,0,0,4,4,0,EXPLORATION/NON-PROMOTED
fsec_693,constraint_generation,5,2,0,0,1,1,0,0,0.5196155386,1.0,1.0,0.0,1,1,1,4,0,1,EXPLORATION/NON-PROMOTED
fsec_694,symmetry_breaking,7,2,0,0,1,0,0,1,0.0344272026,1.0,0.8629441624,0.0,1,0,1,,1,1,EXPLORATION/NON-PROMOTED
fsec_695,context_conditioned_differentiation,6,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_696,intervention_generated_structure,4,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
fsec_697,feedback_induced_structure,7,2,0,0,0,0,0,0,0.4129413788,0.4299547762,0.0,0.0,1,0,0,,,0,EXPLORATION/NON-PROMOTED
fsec_698,local_to_global_organization,7,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_699,optimization_induced_structure,4,2,0,0,0,0,0,0,1.0,0.7642977396,0.0,1.0,0,0,0,3,2,1,EXPLORATION/NON-PROMOTED
fsec_700,constraint_generation,6,2,0,0,1,1,0,0,0.2340730913,1.0,0.0,0.0,1,1,1,4,0,1,EXPLORATION/NON-PROMOTED
fsec_701,symmetry_breaking,7,2,0,0,1,0,0,1,0.0699916279,1.0,0.9472222222,0.0,1,0,1,,1,1,EXPLORATION/NON-PROMOTED
fsec_702,context_conditioned_differentiation,7,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_703,intervention_generated_structure,7,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
fsec_704,feedback_induced_structure,7,2,0,0,0,0,0,0,0.0799177186,0.1226190641,0.0,0.0,1,0,0,,,0,EXPLORATION/NON-PROMOTED
fsec_705,local_to_global_organization,7,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_706,optimization_induced_structure,4,2,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0,0,0,3,2,1,EXPLORATION/NON-PROMOTED
fsec_707,constraint_generation,7,2,0,0,1,1,0,0,0.4806395673,1.0,0.0,0.0,1,1,1,,0,1,EXPLORATION/NON-PROMOTED
fsec_708,symmetry_breaking,7,2,0,0,1,0,0,1,0.0347597167,1.0,0.9166666667,0.0,1,0,1,,1,1,EXPLORATION/NON-PROMOTED
fsec_709,context_conditioned_differentiation,6,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_710,intervention_generated_structure,4,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
fsec_711,feedback_induced_structure,6,2,0,0,0,0,0,0,0.6061121604,0.6191913389,0.0,0.0,1,0,0,,,0,EXPLORATION/NON-PROMOTED
fsec_712,local_to_global_organization,7,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_713,optimization_induced_structure,6,2,0,0,0,0,0,0,0.3223222919,0.5163491666,1.0,0.5,1,0,0,3,3,0,EXPLORATION/NON-PROMOTED
fsec_714,constraint_generation,7,2,0,0,1,1,0,0,0.3841687566,1.0,0.0,0.0,1,1,1,,0,1,EXPLORATION/NON-PROMOTED
fsec_715,symmetry_breaking,4,2,0,0,1,0,0,1,0.5917517095,1.0,0.7777777778,0.0,1,0,1,3,1,1,EXPLORATION/NON-PROMOTED
fsec_716,context_conditioned_differentiation,6,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_717,intervention_generated_structure,7,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
