formation_id,route,n,pre_m,post_m,pre_rank,post_rank,pre_exact,post_exact,pre_dls,post_dls,pre_alignment,post_alignment,new_structure_flag,recoverability_change,notes
form_2614,symmetry_breaking,5,2,2,1,2,0,1,0.59322034,0.0,0.47389572,1.0,1,1,
form_2615,symmetry_breaking,5,2,2,1,2,0,1,0.88235294,0.0,0.35333021,1.0,1,1,
form_2616,symmetry_breaking,5,2,2,1,2,0,1,0.92857143,0.0,0.13175686,1.0,1,1,
form_2617,symmetry_breaking,5,2,2,1,2,0,1,0.875,0.0,0.21182989,1.0,1,1,
form_2618,symmetry_breaking,5,2,2,1,2,0,1,0.86363636,0.0,0.1180829,1.0,1,1,
form_2619,symmetry_breaking,5,2,2,1,2,0,1,0.86440678,0.0,0.19821627,1.0,1,1,
form_2620,symmetry_breaking,5,2,2,1,2,0,1,0.89583333,0.0,0.11359474,1.0,1,1,
form_2621,symmetry_breaking,5,2,2,1,2,0,1,0.94915254,0.0,0.00255428,1.0,1,1,
form_2622,symmetry_breaking,5,2,2,1,2,0,1,0.72727273,0.0,0.1782186,1.0,1,1,
form_2623,symmetry_breaking,5,2,2,1,2,0,1,0.88888889,0.0,0.01290377,1.0,1,1,
form_2624,symmetry_breaking,5,2,2,1,2,0,1,0.92857143,0.0,0.19821627,1.0,1,1,
form_2625,symmetry_breaking,5,2,2,1,2,0,1,0.78571429,0.0,0.0,1.0,1,1,
form_2626,symmetry_breaking,5,2,2,1,2,0,1,0.62962963,0.0,0.00589976,1.0,1,1,
form_2627,symmetry_breaking,5,2,2,1,2,0,1,0.94117647,0.0,0.00455583,1.0,1,1,
form_2628,symmetry_breaking,5,2,2,1,2,0,1,0.95833333,0.0,0.00501256,1.0,1,1,
form_2629,symmetry_breaking,5,2,2,1,2,0,1,0.9375,0.0,0.06355829,1.0,1,1,
form_2630,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2631,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2632,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2633,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2634,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2635,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2636,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2637,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2638,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2639,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2640,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2641,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2642,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2643,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2644,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2645,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2646,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2647,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2648,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2649,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2650,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2651,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2652,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2653,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2654,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2655,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
